REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,,,,,,
Cynthia Axne,IA,Congress,Democratic,CL,CL US,US,Colgate Palmolive Co,Buy,12/31/2019,8000,Com,68.84,116,66.58,72.43,84.73,,,,,,
Cynthia Axne,IA,Congress,Democratic,JNJ,JNJ US,US,Johnson & Johnson,Buy,12/31/2019,8000,Com,145.87,54,133.01,139.04,156.05,,,,,,
Cynthia Axne,IA,Congress,Democratic,MKL,MKL US,US,Markel Corp,Buy,12/31/2019,8000,Com NPV,1143.17,6,946.99,907.18,1019.69,,,,,,
Cynthia Axne,IA,Congress,Democratic,SYK,SYK US,US,Stryker Corp,Buy,12/31/2019,8000,Com,209.94,38,162.96,177.52,242.06,,,,,,
David Joyce,OH,Congress,Republican,IVE,IVE US,US,BTC iShares S&P 500 Value ETF,Buy,12/31/2019,8000,Stock Unit,130.09,60,97.99,106.97,126.99,,,,,,
David Joyce,OH,Congress,Republican,IWN,IWN US,US,iShares Russell 2000 Value ETF,Buy,12/31/2019,8000,Stock Unit,128.58,62,82.51,96.3,131.69,,,,,,
Joseph Courtney,CT,Congress,Democratic,AAPL,AAPL US,US,Apple Inc,Buy,12/31/2019,8000,Com NPV,73.41,108,63.7,90.45,133.72,,,,,,
Joseph Courtney,CT,Congress,Democratic,ABT,ABT US,US,Abbott Laboratories,Buy,12/31/2019,8000,Com NPV,86.86,92,79.34,89.01,108.44,,,,,,
Joseph Courtney,CT,Congress,Democratic,AMT,AMT US,US,American Tower Corp,Buy,12/31/2019,8000,Com,229.82,34,230.58,253.8,220.34,,,,,,
Joseph Courtney,CT,Congress,Democratic,AMZN,AMZN US,US,Amazon Com Inc,Buy,12/31/2019,8000,Com,1847.84,4,1963.95,2680.38,3285.85,,,,,,
Joseph Courtney,CT,Congress,Democratic,ANTM,ANTM US,US,Anthem Inc,Buy,12/31/2019,8000,Com,302.03,26,230.58,259.27,314.05,,,,,,
Joseph Courtney,CT,Congress,Democratic,BLK,BLK US,US,Blackrock Inc,Buy,12/31/2019,8000,Com NPV,502.7,14,455.35,532.87,708.94,,,,,,
Joseph Courtney,CT,Congress,Democratic,C,C US,US,Citigroup Inc,Buy,12/31/2019,8000,Com,79.89,100,44.08,50.29,60.86,,,,,,
Joseph Courtney,CT,Congress,Democratic,CB,CB US,US,Chubb Ltd,Buy,12/31/2019,8000,Com,155.66,50,114.04,125.7,151.93,,,,,,
Joseph Courtney,CT,Congress,Democratic,COF,COF US,US,Capital One Financial Corp,Buy,12/31/2019,8000,Com,102.91,76,53.87,62.38,97.88,,,,,,
Joseph Courtney,CT,Congress,Democratic,COST,COST US,US,Costco Wholesale Corp,Buy,12/31/2019,8000,Com,293.92,26,291.12,301.59,374.45,,,,,,
Joseph Courtney,CT,Congress,Democratic,CSCO,CSCO US,US,Cisco Systems Inc,Buy,12/31/2019,8000,Com,47.96,166,40.32,46.15,44.48,,,,,,
Joseph Courtney,CT,Congress,Democratic,DHR,DHR US,US,Danaher Corp,Buy,12/31/2019,8000,Com,153.48,52,140.82,172.38,220.68,,,,,,
Joseph Courtney,CT,Congress,Democratic,DIS,DIS US,US,Walt Disney Co,Buy,12/31/2019,8000,Com,144.63,54,99.8,111.52,181.17,,,,,,
Joseph Courtney,CT,Congress,Democratic,GOOGL,GOOGL US,US,Alphabet Inc,Buy,12/31/2019,8000,Com A NPV,1339.39,4,1146.31,1397.17,1736.25,,,,,,
Joseph Courtney,CT,Congress,Democratic,HD,HD US,US,Home Depot Inc,Buy,12/31/2019,8000,Com,218.38,36,196.1,246.12,265.26,,,,,,
Joseph Courtney,CT,Congress,Democratic,HON,HON US,US,Honeywell International Inc,Buy,12/31/2019,8000,Com,177,44,131.75,143.24,210.95,,,,,,
Joseph Courtney,CT,Congress,Democratic,JPM,JPM US,US,JP Morgan Chase & Co,Buy,12/31/2019,8000,Com,139.4,56,93.5,93,125.36,,,,,,
Joseph Courtney,CT,Congress,Democratic,KDP,KDP US,US,Keurig Dr Pepper Inc,Buy,12/31/2019,8000,Com,28.95,276,24.78,28.3,31.82,,,,,,
Joseph Courtney,CT,Congress,Democratic,LMT,LMT US,US,Lockheed Martin Corp,Buy,12/31/2019,8000,Com,389.38,20,348.85,367.5,354.16,,,,,,
Joseph Courtney,CT,Congress,Democratic,MCHP,MCHP US,US,Microchip Technology Inc,Buy,12/31/2019,8000,Com,52.36,152,34.49,51.29,68.4,,,,,,
Joseph Courtney,CT,Congress,Democratic,MSFT,MSFT US,US,Microsoft Corp,Buy,12/31/2019,8000,Com,157.7,50,160.23,198.44,221.68,,,,,,
Joseph Courtney,CT,Congress,Democratic,NEE,NEE US,US,Nextera Energy Inc,Buy,12/31/2019,8000,Com,60.54,132,61.5,59.56,75.91,,,,,,
Joseph Courtney,CT,Congress,Democratic,PLD,PLD US,US,Prologis Inc,Buy,12/31/2019,8000,Com,89.14,88,82.88,91.17,98.82,,,,,,
Joseph Courtney,CT,Congress,Democratic,ROST,ROST US,US,Ross Stores Inc,Buy,12/31/2019,8000,Com,116.42,68,84.87,85.24,122.49,,,,,,
Joseph Courtney,CT,Congress,Democratic,SHW,SHW US,US,Sherwin Williams Co,Buy,12/31/2019,8000,Com,194.51,40,160.61,188.67,242.38,,,,,,
Joseph Courtney,CT,Congress,Democratic,STZ,STZ US,US,Constellation Brands Inc,Buy,12/31/2019,8000,Com A,189.75,42,146.44,174.17,218.21,,,,,,
