REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH
David Roe,TN,Congress,Republican,AAPL,AAPL US,US,Apple Inc,Buy,12/31/2020,8000,Com NPV,132.69,60,122.15,136.33,#N/A,-7.94,2.74,#N/A
David Roe,TN,Congress,Republican,ACN,ACN US,US,Accenture Plc,Buy,12/31/2020,16001,Com A,261.21,60,276.25,296.43,#N/A,5.76,13.48,#N/A
David Roe,TN,Congress,Republican,ADBE,ADBE US,US,Adobe Inc,Buy,12/31/2020,8000,Com,500.12,14,475.37,590.75,#N/A,-4.95,18.12,#N/A
David Roe,TN,Congress,Republican,AEP,AEP US,US,American Electric Power Co Inc,Buy,12/31/2020,8000,Com,83.27,96,84.7,83.93,#N/A,1.72,0.79,#N/A
David Roe,TN,Congress,Republican,AMGN,AMGN US,US,Amgen Inc,Buy,12/31/2020,8000,Com,229.92,34,248.81,242.46,#N/A,8.22,5.45,#N/A
David Roe,TN,Congress,Republican,AMP,AMP US,US,Ameriprise Financial Inc,Buy,12/31/2020,8000,Com,194.33,40,232.45,248.19,#N/A,19.62,27.72,#N/A
David Roe,TN,Congress,Republican,AMT,AMT US,US,American Tower Corp,Buy,12/31/2020,8000,Com,224.46,34,239.06,272.79,#N/A,6.50,21.53,#N/A
David Roe,TN,Congress,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,12/31/2020,8000,Com,3256.93,2,3094.08,3448.14,#N/A,-5.00,5.87,#N/A
David Roe,TN,Congress,Republican,BLK,BLK US,US,Blackrock Inc,Buy,12/31/2020,8000,Com NPV,721.54,10,753.96,873.53,#N/A,4.49,21.06,#N/A
David Roe,TN,Congress,Republican,CB,CB US,US,Chubb Ltd,Buy,12/31/2020,8000,Com,153.92,50,157.97,158.4,#N/A,2.63,2.91,#N/A
