REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH,,,
Austin Scott,GA,Congress,Republican,PLUG,PLUG US,US,Plug Power Inc,Buy,10/15/2021,8000,Com,31.24,256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Morris Brooks,AL,Congress,Republican,T,T US,US,AT&T Inc,Buy,10/12/2021,8000,Com,25.43,314,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mark Green,TN,Congress,Republican,ENBL,ENBL US,US,Enable Midstream Partners Lp,Buy,10/7/2021,32500,Stock Unit,8.24,3944,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mark Green,TN,Congress,Republican,USAC,USAC US,US,Usa Compression Partners Lp,Buy,10/7/2021,175000,Stock Unit,16.78,10428,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Alan Lowenthal,CA,Congress,Democratic,DECK,DECK US,US,Deckers Outdoor Corp,Buy,10/6/2021,8000,Com,363.87,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mark Green,TN,Congress,Republican,ENBL,ENBL US,US,Enable Midstream Partners Lp,Buy,10/6/2021,75000,Stock Unit,8.07,9292,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mark Green,TN,Congress,Republican,NS,NS US,US,Nustar Energy Lp,Buy,10/6/2021,175000,Stock Unit,15.78,11088,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mark Green,TN,Congress,Republican,SHLX,SHLX US,US,Shell Midstream Partners LP,Buy,10/6/2021,175000,Stock Unit,11.49,15230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Victoria Spartz,IN,Congress,Republican,SPG,SPG US,US,Simon Property Group Inc,Buy,10/5/2021,32500,Com,131.39,246,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Patrick Fallon,TX,Congress,Republican,SQ,SQ US,US,Square Inc,Buy,10/4/2021,175000,Com A,226.25,772,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Deborah Dingell,MI,Congress,Democratic,SLVM,SLVM US,US,Sylvamo Corp,Buy,10/1/2021,8000,Com,33,242,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Patrick Fallon,TX,Congress,Republican,CRWD,CRWD US,US,Crowdstrike Holdings Inc,Buy,10/1/2021,239503,Com A,249.27,960,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
